,title,year,rated,released,runtime,genre,director,writer,actors,plot,language,country,awards,poster,ratings,metascore,imdbrating,imdbvotes,imdbid,type,dvd,boxoffice,production,website,response,error,totalseasons
529,The Heart of Arizona,1921,N/A,18 Jun 1921,N/A,"Short, Western",Edward A. Kull,"George H. Plympton (scenario), George H. Plympton (screenplay), George H. Plympton (story)","Eileen Sedgwick, Scott Pembroke, Albert J. Smith, Edward A. Kull",N/A,"None, English",USA,N/A,N/A,[],N/A,N/A,N/A,tt0325540,movie,N/A,N/A,N/A,N/A,True,,
530,The Man Trackers,1921,N/A,01 Jul 1921,50 min,Drama,Edward A. Kull,"Edward A. Kull, George H. Plympton","George Larkin, Josephine Hill, Albert J. Smith","Molly Killbride, daughter of the inspector in the Royal Mounties, is in love with trooper Jimmy Hearn, but her father prefers that she marry Harry Morgan, a wealthy young civilian. Morgan, however, is allied with a gang of outlaws...",None,United States,N/A,https://m.media-amazon.com/images/M/MV5BY2I1YTM0ODAtOWQ0Zi00YzFhLTg0ZTctMjk1Mjg2ZDg1Mzg4XkEyXkFqcGdeQXVyMDU4MTQ0Ng@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0012437,movie,N/A,N/A,N/A,N/A,True,,
531,Short Skirts,1921,N/A,01 Jul 1921,50 min,Drama,Harry B. Harris,"Doris Schroeder, Alice L. Tildesley","Gladys Walton, Ena Gregory, Jack Mower","Natalie, whose mother is engaged to Wallace Brewster, the reform candidate for mayor, is seventeen and highly dislikes being treated like a child, especially from her mother's fiance. When she meets the opposition candidate's son,...",None,United States,N/A,https://m.media-amazon.com/images/M/MV5BYmMxYzkxZTAtNzg4Zi00ZGJkLWE0YWQtYzkwMTQyN2Q3ZmM2XkEyXkFqcGdeQXVyNDY1NzU5NjY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0012680,movie,N/A,N/A,N/A,N/A,True,,
532,The Kiss,1896,Not Rated,01 Apr 1896,1 min,"Short, Romance",William Heise,John J. McNally,"May Irwin, John C. Rice","In a medium close-up shot of the first kiss ever recorded on screen, two fervent lovers cuddle and talk passionately at hair's breadth, just before the love-smitten gentleman decides to give his chosen one an innocent peck.",None,United States,1 win,https://m.media-amazon.com/images/M/MV5BMDRhNGI5M2QtZjcyMy00YzViLTkwOTMtN2FlZWQzZDU0MWJjXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,"3,570",tt0139738,movie,N/A,N/A,N/A,N/A,True,,
533,Terror Trail,1946,Passed,21 Nov 1946,57 min,Western,Ray Nazarro,Ed Earl Repp,"Charles Starrett, Barbara Pepper, Ozie Waters","Red Butte saloon owner Duke Catlett (Lane Chandler) is the secret owner of a large sheep flock which he grazes on surrounding cattlelands. A range war looks between the cattlemen, led by Bart Mason (Zon Murray), and the sheepherde...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYjIyMzgyZTUtMTZkYy00MWNjLTllZjMtMzc1MjE0NTUzMDNiXkEyXkFqcGdeQXVyNDcxNDkxMjA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,63,tt0039891,movie,N/A,N/A,N/A,N/A,True,,
534,The Fox,1967,R,07 Feb 1968,110 min,Drama,Mark Rydell,"Lewis John Carlino, Howard Koch, D.H. Lawrence","Keir Dullea, Sandy Dennis, Anne Heywood","Based on D.H. Lawrence's novella about two young women - sickly, chattering Jill Banford and quiet, strong Ellen March - who are trying, hopelessly, to run a chicken farm in Canada. A gentle but powerful man named Paul Grenfell wh...",English,"Canada, United States",Nominated for 1 Oscar. 1 win & 6 nominations total,https://m.media-amazon.com/images/M/MV5BYzUxNzdmOTUtMWI5Yi00N2I2LTk1YWUtMTEyMzU5MDkwMjE4XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}]",N/A,6.5,"1,217",tt0062990,movie,N/A,N/A,N/A,N/A,True,,
535,Luring Lips,1921,N/A,25 Jul 1921,50 min,Drama,King Baggot,"George Hively, John A. Moroso","Darrell Foss, Ramsey Wallace, William Welsh","Dave Martin, receiving teller in a Wall Street bank, marries Adele, secretary to the office manager, Frederick Vibart, who visits their home and shows continued interest in her. When a loss of $50,000 is discovered at the bank, Da...","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BMTU4MTcyOTIxM15BMl5BanBnXkFtZTYwODY5MTg5._V1_SX300.jpg,[],N/A,N/A,N/A,tt0012421,movie,N/A,N/A,N/A,N/A,True,,
536,Opened Shutters,1921,Passed,01 Aug 1921,50 min,"Drama, Romance",William Worthington,"Clara Louise Burnham, Doris Schroeder","Edith Roberts, Josef Swickard, Joseph Singleton","When her indigent artist father dies, Sylvia Lacey goes to live with her Aunt Martha and her uncle, Judge Trent, in New England, where she is unwanted and humiliated. Though she and her uncle's young law partner John Dunham fall i...",None,USA,N/A,https://m.media-amazon.com/images/M/MV5BOTA0Yzc2MDctNDcwOS00ZDU4LWEyMWItM2U0YzNjNmFiNjI1XkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0012531,movie,N/A,N/A,N/A,N/A,True,,
537,Danger Ahead,1935,Passed,01 Aug 1935,65 min,"Action, Drama, Crime",Albert Herman,"Peter B. Kyne, Al Martin","Lawrence Gray, Sheila Bromley, J. Farrell MacDonald","A sea captain receives $40,000 from a crook, and the crooks try to steal it from him.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BY2FhODY2NDktYzA0Ny00NGE2LTlkNjgtMTRhMTlmYTBjZjBiXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,109,tt0026259,movie,N/A,N/A,N/A,N/A,True,,
538,The Danger Man,1930,N/A,20 May 1930,72 min,Drama,"Charles Hutchison, Bud Pollard","Charles Hutchison (story), Bud Pollard (screenplay)","Charles Hutchison, Edith Thornton, Virginia Pearson, Sheldon Lewis","This is Lightning Hutch (1926), a silent ten episode serial, re-edited into feature film format, and released with sound effects and a recorded musical score; Charles Hutchison was the ...",N/A,N/A,N/A,N/A,[],N/A,N/A,N/A,tt0020807,movie,N/A,N/A,N/A,N/A,True,,
539,The Shark Master,1921,N/A,28 Aug 1921,50 min,Drama,Fred LeRoy Granville,"Fred LeRoy Granville, George C. Hull","Frank Mayo, Doris Deane, Herbert Fortier","A man is shipwrecked on a South Seas island, and although he has a fiancee back home, he falls in love with a Polynesian girl. When his fiancee finally finds him and arrives on the island to take him home, she finds out that he re...",None,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjlmODFmMTMtYmE4Ny00YTE4LWE1ZjItZjg5YjhiZTMwMGQzXkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0012674,movie,N/A,N/A,N/A,N/A,True,,
540,Action,1999–2000,TV-MA,16 Sep 1999,30 min,Comedy,N/A,Chris Thompson,"Jay Mohr, Illeana Douglas, Jarrad Paul","A dark comedy about Peter Dragon, a sleazy Hollywood executive. His last, massively expensive, movie bombed and he needs a hit. Will ""Beverley Hills Gun Club"" be it and how far will he have to go to make it?",English,United States,3 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BNmYyYzVkYjAtZWIzOC00MTI1LWE1MmUtZDUxYzA1NzgzNWMyXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",N/A,8.3,"1,557",tt0206467,series,,,,,True,,1
541,Moonlight Follies,1921,N/A,18 Sep 1921,50 min,Comedy,King Baggot,"Percival Wilde, Andrew Percival Younger","Marie Prevost, Lionel Belmore, Marie Crisp","A cute young flapper enjoys the company of high-society gentlemen until she finds love with a rugged man of the mountains. After he rescues her from snakes, she decides that city boys simply don't suffice anymore.","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BZWUxZTU3YWUtYjM4NC00MmFhLTlmZDAtNDc3MjRmMDdhOWYwXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,47,tt0012472,movie,N/A,N/A,N/A,N/A,True,,
542,No Woman Knows,1921,N/A,19 Sep 1921,70 min,Drama,Tod Browning,"Tod Browning, Edna Ferber, George Yohalem","Max Davidson, Snitz Edwards, Grace Marvin","In Winnebago, Wisconsin, the Jewish Brandeis family--Molly, Ferdinand, and their two children Fanny and Theodore--run a modest dry-goods store. Theodore is studying violin and auditions for a famous violinist, The Great Schabelitz...","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BZTNjZmRlOTgtNTkyNy00ZTFiLTgzYWQtOWY4ODdkYjdmNjBlXkEyXkFqcGdeQXVyMDU4MTQ0Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,16,tt0012505,movie,N/A,N/A,N/A,N/A,True,,
543,The Rowdy,1921,N/A,19 Sep 1921,50 min,Drama,David Kirkland,"Jack Cunningham, Doris Schroeder, Hamilton Thompson","Rex De Rosselli, Anna Dodge, Gladys Walton","When retired New England skipper Captain Purcell finds Kit as a baby in a storm, he adopts her and she grows up to be an adventurous youngster of the docks. One evening years later, she boards a fishing boat to break up a poker ga...",None,USA,N/A,https://m.media-amazon.com/images/M/MV5BN2NhZjJkZjMtZTdjOC00NDY0LThiZTItMmE2NmVkODhlMjFlXkEyXkFqcGdeQXVyNjg2NjExMzY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0012637,movie,N/A,N/A,N/A,N/A,True,,
544,The Rage of Paris,1938,Passed,01 Jul 1938,78 min,Comedy,Henry Koster,"Bruce Manning, Felix Jackson","Danielle Darrieux, Douglas Fairbanks Jr., Mischa Auer","Nicole has no job and is several weeks behind with her rent. Her solution is to try to snare a rich husband, and she enlists the help of her friend Gloria and the maitre d' to catch the eye of Bill Duncan.","English, French",United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BZjEzZTI2YTEtN2ZhNS00YjU4LWExMTItMjllMGNlMDE0Y2VkXkEyXkFqcGdeQXVyMDI3OTIzOA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,926,tt0030652,movie,27 Sep 2005,N/A,N/A,N/A,True,,
545,Winners of the West,1940,Approved,02 Jul 1940,247 min,"Drama, Western","Ford Beebe, Ray Taylor","George H. Plympton, Basil Dickey, Charles R. Condon","Dick Foran, Anne Nagel, Tom Fadden",Hartford is building a railroad heading west and King Carter is out to stop him from going through his town by goading the Indians into attacking the railroad crew. The head of the crew is Jeff Ramsay and he and his sidekick Tex a...,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTMwMDgwNDg0MV5BMl5BanBnXkFtZTcwMTE5MjE5Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,74,tt0033269,movie,N/A,N/A,N/A,N/A,True,,
546,Red Courage,2012,N/A,N/A,12 min,"Short, Action, Drama",Scott Edge,Scott Edge,"Skyy Moore, Stephen Brodie, Corbin Pitts","Based on a true story, 'Red Courage' takes us to 1942 during World War II. A story about finding courage and discovering the power of a legacy through self sacrifice.",English,United States,N/A,N/A,[],N/A,N/A,N/A,tt2447508,movie,N/A,N/A,N/A,N/A,True,,
547,Go Straight,2007–,N/A,02 Oct 2007,50 min,"Adventure, Game-Show",N/A,N/A,"Konstadinos Aggelidis, Petroula Kostidou, Giorgos Loxos",N/A,Greek,Greece,N/A,https://m.media-amazon.com/images/M/MV5BMmRkOGNhYTUtYjY1MS00MDk0LTkyNTctNWUwOGUxMmRlYTgwXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",N/A,5.0,5,tt1116302,series,,,,,True,,1
548,Conflict,1945,Passed,30 Jun 1945,86 min,"Drama, Film-Noir, Mystery",Curtis Bernhardt,"Arthur T. Horman, Dwight Taylor, Robert Siodmak","Humphrey Bogart, Alexis Smith, Sydney Greenstreet",An engineer trapped in an unhappy marriage murders his wife in the hope of marrying her younger sister.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNDliMmE0MGEtNjNhNy00MGY1LWI2ZWEtMDM2YjZhM2MzYWQ3XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}]",N/A,7.1,"4,355",tt0037611,movie,01 Jan 2004,N/A,N/A,N/A,True,,
549,High Heels,1991,R,20 Dec 1991,112 min,"Comedy, Drama, Romance",Pedro Almodóvar,Pedro Almodóvar,"Victoria Abril, Marisa Paredes, Miguel Bosé",A singer returns after 15 years abroad to perform in Madrid and finds her 27 y.o. daughter married to one of her mom's ex-lovers.,Spanish,"Spain, France",10 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BZGQ3NzFkZGEtYzNmNS00MjYzLWI2NjUtNzBmOTVkMGUxMjdlXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,7.0,"16,802",tt0103030,movie,15 Nov 2016,"$1,710,057",N/A,N/A,True,,
550,Nobody's Fool,1994,R,13 Jan 1995,110 min,"Comedy, Drama",Robert Benton,"Richard Russo, Robert Benton","Paul Newman, Bruce Willis, Jessica Tandy",A stubborn man past his prime reflects on his life of strict independence and seeks more from himself.,English,United States,Nominated for 2 Oscars. 5 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BMjg0YzYzYzktNTY3NC00MDE0LThjMzYtMmY0MWZlNDdiYWY2XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",86,7.3,"21,773",tt0110684,movie,04 Jun 2013,"$39,491,975",N/A,N/A,True,,
551,Sure Fire,1990,Unrated,17 Mar 1993,83 min,Drama,Jon Jost,Jon Jost,"Tom Blair, Kristi Hager, Robert Ernst","Set in the quasi-Biblical splendor of the Mormon Dixie of central Utah, 'Sure Fire' follows the trajectory of an American archetype, the small town entrepreneur seized by visions of fortune. Wes, eager to sell out the local grande...",English,United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BMTc5NjI3MDI1Nl5BMl5BanBnXkFtZTcwNDU3NjYxMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,172,tt0108257,movie,N/A,N/A,N/A,N/A,True,,
552,The Millionaire,1955–1960,N/A,19 Jan 1955,30 min,Drama,N/A,N/A,"Marvin Miller, Paul Frees, Roy Gordon","In this hit 1950s TV series, a millionaire indulges himself giving away $1 million apiece to persons he has never met.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNjcwNmJlNTktYTMyMy00NDE4LWFlNzctMGVkNjIzM2JhMWQwXkEyXkFqcGdeQXVyMjcyMDU4NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,571,tt0047758,series,,,,,True,,6
553,False Kisses,1921,N/A,21 Nov 1921,50 min,Drama,Paul Scardon,"Wallace Clifton, Winifred Reeve, Wilbur Daniel Steele","Miss DuPont, Pat O'Malley, Lloyd Whitlock","Fishing partners Paul Whalen and Jim Payne are rivals for the affections of Jennie Blake, a schoolteacher from the city who came to their small town of Rocky Point to teach school. After Jim is beaten in a fight by Paul, Jennie ma...",None,United States,N/A,https://m.media-amazon.com/images/M/MV5BZjg1MzYyMDQtMGM1YS00ZDA5LTgwNmQtZjA2YjY3MDEwYjZkXkEyXkFqcGdeQXVyNzQ0NjI0ODc@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0012151,movie,N/A,N/A,N/A,N/A,True,,
554,Dr. Jim,1921,N/A,28 Nov 1921,50 min,Drama,William Worthington,"Eugene B. Lewis, Stuart Paton","Frank Mayo, Claire Windsor, Oliver Cross",N/A,None,United States,N/A,https://m.media-amazon.com/images/M/MV5BZDgzNGExMTgtODRiMi00OTllLWE1ZjctZGFlN2MyYzM3Y2MzXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0012120,movie,N/A,N/A,N/A,N/A,True,,
555,A Daughter of the Law,1921,N/A,06 Feb 1921,21 min,"Short, Western",Grace Cunard,"Grace Cunard, Marion H. Kohn","Grace Cunard, Cole Hebert, Gordon Griffith",A city girl revenuer spies on illegal whiskey making in the hills.,"None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BZWM0NjlkNzEtOGQyNS00NWI5LTkxODgtYTliYmZmOWQzMThkXkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,96,tt0310980,movie,25 Feb 2020,N/A,N/A,N/A,True,,
556,A Parisian Scandal,1921,N/A,05 Dec 1921,50 min,"Comedy, Drama",George L. Cox,"Doris Schroeder, Louise Winter","George Periolat, Lillian Lawrence, Marie Prevost","Without social or romantic interests, young Basil Hammond goes to Paris to study paleontology and to bring back a report to his guardian on the manners and moral character of her granddaughter, Liane. At first he is disgusted by h...","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BMTA0ZTc3MDMtM2MxZi00ODc0LWFjYWEtMTYzNTE0NjUxNjNmXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0012550,movie,N/A,N/A,N/A,N/A,True,,
557,Dream Girl,2019,Not Rated,13 Sep 2019,132 min,"Comedy, Romance",Raaj Shaandilyaa,"Nirmaan Dsingh, Niket Pandey, Raaj Shaandilyaa","Ayushmann Khurrana, Nushrratt Bharuccha, Annu Kapoor","Rom-com Movie, directed by Raaj Shaandilyaa, stars Ayushmann Khurrana who plays a 'dream girl'. In every love story, there is always one trying to win the heart of the other, who could be the 'dream girl'.",Hindi,India,1 win & 6 nominations,https://m.media-amazon.com/images/M/MV5BNmUyMzU3YjgtZTliNS00NWM2LWI5ODgtYWE3ZjAzODgyNjNhXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",N/A,7.0,"15,281",tt9248940,movie,N/A,N/A,N/A,N/A,True,,
558,Cheated Hearts,1921,N/A,12 Dec 1921,50 min,Drama,Hobart Henley,"Wallace Clifton, William F. Payson","Herbert Rawlinson, Warner Baxter, Marjorie Daw","The oldest son of a Virginia colonel, Barry Gordon inherits a taste for alcohol, the habit that caused his father's death. His brother, Tom, falls in love with Muriel Beekman, their guardian's daughter. Barry also loves her but fe...",None,United States,N/A,https://m.media-amazon.com/images/M/MV5BZjkzMzk0NWItOGU5MC00ZTBiLTlhY2EtZmQwZjY5M2ZiZjMxXkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0012039,movie,N/A,N/A,N/A,N/A,True,,
559,The Terror Streak,1921,N/A,16 Dec 1921,N/A,N/A,Jacques Jaccard,"Anthony Coldeway, Robert Dillon",Eddie Polo,N/A,N/A,N/A,N/A,N/A,[],N/A,N/A,N/A,tt0328531,movie,N/A,N/A,N/A,N/A,True,,
560,Playing with Fire,2019,PG,08 Nov 2019,96 min,"Comedy, Family",Andy Fickman,"Dan Ewen, Matt Lieberman","John Cena, Keegan-Michael Key, John Leguizamo",A crew of rugged firefighters meet their match when attempting to rescue three rambunctious kids.,"English, Spanish, French",United States,2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BNTg4YjQyMDAtZWFiYi00OTMzLWJiYTgtMzRiNWMzMTAzMDQ0XkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '24%'}, {'Source': 'Metacritic', 'Value': '24/100'}]",24,5.1,"15,447",tt9134216,movie,08 Nov 2019,"$44,451,847",N/A,N/A,True,,
561,The Secret Four,1939,Approved,21 Apr 1940,85 min,"Drama, Mystery, Thriller",Walter Forde,"Edgar Wallace, Angus MacPhail, Sergei Nolbandov","Hugh Sinclair, Griffith Jones, Francis L. Sullivan","The Four Men of the title are British WWI veterans who decide to work secretly against enemies of the country. They aren't above a bit of murder or sabotage to serve their ends, but they consider themselves to be true patriots.","English, French",United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BMjc3MTk2ZWMtZWYyMy00MjQyLWEyZmItNjA4NWVjY2QwZjU1XkEyXkFqcGdeQXVyMzY4MjI1MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,174,tt0033031,movie,N/A,N/A,N/A,N/A,True,,
562,The Fire Eater,1921,N/A,24 Dec 1921,50 min,Western,B. Reeves Eason,"Ralph Cummins, Harvey Gates","Hoot Gibson, Louise Lorraine, Walter Perry","Partners ""Smilin' Bob"" Corey and Jim O'Neil are forest rangers sent to peacefully ""penetrate"" Paradise Valley, which is scheduled to become part of a nati8onal park. Although the townspeople are sullen about their presence, they m...","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BODVhYmNiZjEtNDAzOC00NWMwLWJkNTItOGZjMWEyNjRiMWIyXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0012171,movie,N/A,N/A,N/A,N/A,True,,
563,A Battle of Wits,1917,N/A,02 Mar 1917,N/A,"Short, Drama",N/A,N/A,Harold Lockwood,"Valanza is an admirer of Paula. But Paula rejects Valanza for Wallace. Alquinaldo, a Mexican general, orders Wallace taken as spy. Paula's father, who is dying, gives her a map showing just where his wealth is buried. A few days l...","None, English",United States,N/A,N/A,[],N/A,N/A,N/A,tt0337846,movie,N/A,N/A,N/A,N/A,True,,
564,Shattered Dreams,1990,Not Rated,13 May 1990,94 min,"Crime, Drama",Robert Iscove,"Charlotte Fedders, Laura Elliott, David Hill","Lindsay Wagner, Michael Nouri, Georgann Johnson","A woman is abused physically and mentally by her husband, a government employee, for over a decade. Finally she finds the courage to get away from him, but the struggle isn't over yet.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTUwMDUwMDc0NF5BMl5BanBnXkFtZTgwNDQzNDkwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,152,tt0090008,movie,16 Dec 2003,N/A,N/A,N/A,True,,
